Produto;Instituição;Valor Mínimo;Rentabilidade;Valor Líquido;Rating do Emissor;Vencimento;Liquidez;Taxa;Detalhes
Debênture;MAGAZINE LUIZA S/A;R$ 1.004,63;37,42%;R$ 1.380,52;Sem Rating;916 dias;Vencimento;CDI + 4,5%;LCI/LCA CDI + 3.82%
Debênture;MAGAZINE LUIZA S/A;R$ 1.004,63;37,42%;R$ 1.380,52;Sem Rating;916 dias;Vencimento;CDI + 4,5%;LCI/LCA CDI + 3.82%
CDB;PICPAY;R$ 1,00;27,09%;R$ 1,27;Sem Rating;721 dias;Vencimento;114,0% CDI;LCI/LCA 96.9% CDI
CRA;MAESTRO;R$ 1.021,22;92,25%;R$ 1.963,28;Sem Rating;1708 dias;No Vencimento;CDI + 3,95%;CDB CDI + 4.65%
CRA;MAESTRO;R$ 1.021,22;92,25%;R$ 1.963,28;Sem Rating;1708 dias;No Vencimento;CDI + 3,95%;CDB CDI + 4.65%
Debênture;DASA;R$ 1.004,34;52,46%;R$ 1.531,25;Sem Rating;1286 dias;No Vencimento;CDI + 3,6%;LCI/LCA CDI + 3.06%
Debênture;DASA;R$ 1.004,34;52,46%;R$ 1.531,25;Sem Rating;1286 dias;No Vencimento;CDI + 3,6%;LCI/LCA CDI + 3.06%
CDB;PICPAY;R$ 1,00;11,75%;R$ 1,12;Sem Rating;361 dias;Vencimento;110,0% CDI;LCI/LCA 90.75% CDI
CDB;BANCO MASTER DE INVESTIME;R$ 1.000,00;104,93%;R$ 2.049,26;Sem Rating;2190 dias;No Vencimento;14,40%PRÉ;LCI/LCA 12.24% PRÉ
CDB;BANCO MASTER DE INVESTIME;R$ 1.000,00;104,93%;R$ 2.049,26;Sem Rating;2190 dias;No Vencimento;14,40%PRÉ;LCI/LCA 12.24% PRÉ
Debênture;LIGGA TELECOMUNICACOES S.A.;R$ 1.040,63;134,65%;R$ 2.441,83;Sem Rating;2347 dias;Vencimento;IPCA +9,92%;CDB IPCA + 11.67%
Debênture;LIGGA TELECOMUNICACOES S.A.;R$ 1.040,63;134,65%;R$ 2.441,83;Sem Rating;2347 dias;Vencimento;IPCA +9,92%;CDB IPCA + 11.67%
Debênture;LIGGA TELECOMUNICACOES S.A.;R$ 1.040,63;134,65%;R$ 2.441,83;Sem Rating;2347 dias;Vencimento;IPCA +9,92%;CDB IPCA + 11.67%
CDB;WILLBANK;R$ 1.000,00;58,21%;R$ 1.582,08;Sem Rating;1438 dias;Vencimento;120,5% CDI;LCI/LCA 102.42% CDI
CDB;BANCO MASTER DE INVESTIME;R$ 1.000,00;79,67%;R$ 1.796,67;Sem Rating;1825 dias;No Vencimento;14,20%PRÉ;LCI/LCA 12.07% PRÉ
CDB;BANCO MASTER DE INVESTIME;R$ 1.000,00;79,67%;R$ 1.796,67;Sem Rating;1825 dias;No Vencimento;14,20%PRÉ;LCI/LCA 12.07% PRÉ
CDB;WILLBANK;R$ 1.000,00;40,66%;R$ 1.406,60;Sem Rating;1080 dias;Vencimento;120,0% CDI;LCI/LCA 102.0% CDI
CDB;NEON FINANCEIRA;R$ 1.000,00;79,39%;R$ 1.793,90;Sem Rating;1827 dias;Vencimento;120,0% CDI;LCI/LCA 102.0% CDI
CDB;WILLBANK;R$ 1.000,00;25,73%;R$ 1.257,26;Sem Rating;730 dias;Vencimento;119,5% CDI;LCI/LCA 101.58% CDI
CDB;BANCO MASTER DE INVESTIME;R$ 1.000,00;101,58%;R$ 2.015,77;Sem Rating;2190 dias;No Vencimento;130,0% CDI;LCI/LCA 110.5% CDI
CDB;BANCO MASTER;R$ 1.000,00;25,20%;R$ 1.252,02;BBB- FITCH;721 dias;Vencimento;119,0% CDI;LCI/LCA 101.15% CDI
Debênture;BRASKEM;R$ 1.002,07;90,94%;R$ 1.913,34;Sem Rating;2037 dias;No Vencimento;CDI + 3,0%;LCI/LCA CDI + 2.55%
Debênture;BRASKEM;R$ 1.002,07;90,94%;R$ 1.913,34;Sem Rating;2037 dias;No Vencimento;CDI + 3,0%;LCI/LCA CDI + 2.55%
Debênture;ALUBAR METAIS E CABOS S/A;R$ 1.078,30;43,40%;R$ 1.546,31;Sem Rating;1154 dias;Vencimento;CDI + 3,0%;LCI/LCA CDI + 2.55%
Debênture;ALUBAR METAIS E CABOS S/A;R$ 1.078,30;43,40%;R$ 1.546,31;Sem Rating;1154 dias;Vencimento;CDI + 3,0%;LCI/LCA CDI + 2.55%
Debênture;ALUBAR METAIS E CABOS S/A;R$ 1.078,30;43,40%;R$ 1.546,31;Sem Rating;1154 dias;Vencimento;CDI + 3,0%;LCI/LCA CDI + 2.55%
CDB;NEON FINANCEIRA;R$ 1.000,00;58,23%;R$ 1.582,30;Sem Rating;1463 dias;Vencimento;118,5% CDI;LCI/LCA 100.72% CDI
CDB;BANCO MASTER DE INVESTIME;R$ 1.000,00;77,84%;R$ 1.778,41;Sem Rating;1825 dias;No Vencimento;129,0% CDI;LCI/LCA 109.65% CDI
CDB;BANCO MASTER DE INVESTIME;R$ 1.000,00;57,98%;R$ 1.579,85;Sem Rating;1460 dias;No Vencimento;13,90%PRÉ;LCI/LCA 11.81% PRÉ
CDB;BANCO MASTER DE INVESTIME;R$ 1.000,00;57,98%;R$ 1.579,85;Sem Rating;1460 dias;No Vencimento;13,90%PRÉ;LCI/LCA 11.81% PRÉ
CDB;NEON FINANCEIRA;R$ 1.000,00;40,36%;R$ 1.403,60;Sem Rating;1092 dias;Vencimento;118,0% CDI;LCI/LCA 100.3% CDI
CDB;BANCO MASTER;R$ 1.000,00;76,01%;R$ 1.760,07;BBB- FITCH;1800 dias;Vencimento;118,0% CDI;LCI/LCA 100.3% CDI
CDB;BANCO MASTER;R$ 1.000,00;97,89%;R$ 1.978,92;BBB- FITCH;2162 dias;Vencimento;118,0% CDI;LCI/LCA 100.3% CDI
Debênture;BRASIL TECNOLOGIA E PARTICIPACOES S.A;R$ 1.043,45;115,22%;R$ 2.245,74;Sem Rating;2163 dias;Vencimento;IPCA +9,57%;CDB IPCA + 11.26%
Debênture;BRASIL TECNOLOGIA E PARTICIPACOES S.A;R$ 1.043,45;115,22%;R$ 2.245,74;Sem Rating;2163 dias;Vencimento;IPCA +9,57%;CDB IPCA + 11.26%
Debênture;BRASIL TECNOLOGIA E PARTICIPACOES S.A;R$ 1.043,45;115,22%;R$ 2.245,74;Sem Rating;2163 dias;Vencimento;IPCA +9,57%;CDB IPCA + 11.26%
CRA;MADERO;R$ 1.066,97;105,02%;R$ 2.187,56;Sem Rating;2026 dias;Vencimento;CDI + 2,9%;CDB CDI + 3.41%
CRA;MADERO;R$ 1.066,97;105,02%;R$ 2.187,56;Sem Rating;2026 dias;Vencimento;CDI + 2,9%;CDB CDI + 3.41%
CRA;MADERO;R$ 1.066,97;105,02%;R$ 2.187,56;Sem Rating;2026 dias;Vencimento;CDI + 2,9%;CDB CDI + 3.41%
CDB;PICPAY;R$ 1,00;2,43%;R$ 1,02;Sem Rating;90 dias;Vencimento;105,0% CDI;LCI/LCA 81.38% CDI
CDB;PICPAY;R$ 1,00;5,14%;R$ 1,05;Sem Rating;181 dias;Vencimento;105,0% CDI;LCI/LCA 84.0% CDI
CDB;BANCO MASTER DE INVESTIME;R$ 1.000,00;57,63%;R$ 1.576,31;Sem Rating;1460 dias;No Vencimento;128,0% CDI;LCI/LCA 108.8% CDI
CDB;BANCO MASTER DE INVESTIME;R$ 1.000,00;99,33%;R$ 1.993,35;Sem Rating;2190 dias;No Vencimento;128,0% CDI;LCI/LCA 108.8% CDI
CRI;AGIBANK;R$ 100.514,43;261,59%;R$ 363.448,57;Sem Rating;3637 dias;No Vencimento;CDI + 2,85%;CDB CDI + 3.35%
CRI;AGIBANK;R$ 100.514,43;261,59%;R$ 363.448,57;BBB+ FITCH;3637 dias;No Vencimento;CDI + 2,85%;CDB CDI + 3.35%
CDB;NEON FINANCEIRA;R$ 1.000,00;25,17%;R$ 1.251,72;Sem Rating;731 dias;Vencimento;117,0% CDI;LCI/LCA 99.45% CDI
CDB;BANCO MASTER;R$ 1.000,00;39,44%;R$ 1.394,38;BBB- FITCH;1080 dias;Vencimento;117,0% CDI;LCI/LCA 99.45% CDI
CDB;BANCO MASTER;R$ 1.000,00;56,13%;R$ 1.561,28;BBB- FITCH;1441 dias;Vencimento;117,0% CDI;LCI/LCA 99.45% CDI
CDB;BANCO MASTER;R$ 1.004,10;127,47%;R$ 2.284,01;BBB- FITCH;2607 dias;No Vencimento;13,75%PRÉ;LCI/LCA 11.69% PRÉ
CRI;RÔGGA;R$ 1.008,49;67,58%;R$ 1.690,02;Sem Rating;1466 dias;No Vencimento;CDI + 2,8%;CDB CDI + 3.29%
CRI;RÔGGA;R$ 1.008,49;67,58%;R$ 1.690,02;Sem Rating;1466 dias;No Vencimento;CDI + 2,8%;CDB CDI + 3.29%
CDB;BANCO VOITER;R$ 1.000,00;39,93%;R$ 1.399,34;Sem Rating;1095 dias;Vencimento;116,5% CDI;LCI/LCA 99.02% CDI
CDB;BANCO MASTER;R$ 1.000,00;96,04%;R$ 1.960,45;BBB- FITCH;2160 dias;Vencimento;13,70%PRÉ;LCI/LCA 11.64% PRÉ
CDB;BANCO MASTER;R$ 1.000,00;98,18%;R$ 1.981,79;BBB- FITCH;2191 dias;Vencimento;13,70%PRÉ;LCI/LCA 11.64% PRÉ
CDB;BANCO MASTER DE INVESTIME;R$ 1.009,21;96,41%;R$ 1.982,24;Sem Rating;2166 dias;No Vencimento;13,70%PRÉ;LCI/LCA 11.64% PRÉ
CDB;BANCO MASTER DE INVESTIME;R$ 1.029,99;92,66%;R$ 1.984,42;Sem Rating;2105 dias;No Vencimento;13,70%PRÉ;LCI/LCA 11.64% PRÉ
CRA;MADERO;R$ 854,40;45,19%;R$ 1.240,51;Sem Rating;1067 dias;Vencimento;CDI + 2,7%;CDB CDI + 3.18%
CRA;MADERO;R$ 854,40;45,19%;R$ 1.240,51;Sem Rating;1067 dias;Vencimento;CDI + 2,7%;CDB CDI + 3.18%
CRA;MADERO;R$ 854,40;45,19%;R$ 1.240,51;Sem Rating;1067 dias;Vencimento;CDI + 2,7%;CDB CDI + 3.18%
CDB;BANCO MASTER;R$ 500,00;95,11%;R$ 975,55;BBB- FITCH;2160 dias;Vencimento;13,60%PRÉ;LCI/LCA 11.56% PRÉ
CDB;BANCO MASTER DE INVESTIME;R$ 1.000,00;75,40%;R$ 1.753,98;Sem Rating;1825 dias;No Vencimento;126,0% CDI;LCI/LCA 107.1% CDI
CDB;BANCO MASTER;R$ 1.000,00;150,15%;R$ 2.501,51;Sem Rating;2922 dias;No Vencimento;13,60%PRÉ;LCI/LCA 11.56% PRÉ
CDB;BANCO MASTER;R$ 1.000,00;150,15%;R$ 2.501,51;BBB- FITCH;2922 dias;No Vencimento;13,60%PRÉ;LCI/LCA 11.56% PRÉ
CDB;BANCO MASTER;R$ 1.002,03;132,96%;R$ 2.334,35;BBB- FITCH;2705 dias;No Vencimento;13,60%PRÉ;LCI/LCA 11.56% PRÉ
CDB;BANCO MASTER DE INVESTIME;R$ 1.022,51;93,03%;R$ 1.973,71;Sem Rating;2125 dias;No Vencimento;13,60%PRÉ;LCI/LCA 11.56% PRÉ
CDB;BANCO MASTER;R$ 1.075,59;84,24%;R$ 1.981,67;BBB- FITCH;1978 dias;No Vencimento;13,60%PRÉ;LCI/LCA 11.56% PRÉ
CDB;BANCO MASTER;R$ 1.076,13;84,16%;R$ 1.981,75;BBB- FITCH;1977 dias;No Vencimento;13,60%PRÉ;LCI/LCA 11.56% PRÉ
CDB;BANCO MASTER;R$ 1.078,31;83,81%;R$ 1.982,08;BBB- FITCH;1970 dias;No Vencimento;13,60%PRÉ;LCI/LCA 11.56% PRÉ
Debênture;SIMPAR S.A.;R$ 1.065,33;171,45%;R$ 2.891,79;Sem Rating;3174 dias;Vencimento;CDI + 2,65%;LCI/LCA CDI + 2.25%
Debênture;SIMPAR S.A.;R$ 1.065,33;171,45%;R$ 2.891,79;Sem Rating;3174 dias;Vencimento;CDI + 2,65%;LCI/LCA CDI + 2.25%
Debênture;SIMPAR S.A.;R$ 1.065,33;171,45%;R$ 2.891,79;Sem Rating;3174 dias;Vencimento;CDI + 2,65%;LCI/LCA CDI + 2.25%
CDB;PICPAY;R$ 1,00;2,38%;R$ 1,02;Sem Rating;90 dias;Vencimento;103,0% CDI;LCI/LCA 79.83% CDI
CRA;ASA;R$ 1.007,65;64,45%;R$ 1.657,04;Sem Rating;1433 dias;No Vencimento;CDI + 2,6%;CDB CDI + 3.06%
CRA;ASA;R$ 1.007,65;64,45%;R$ 1.657,04;Sem Rating;1433 dias;No Vencimento;CDI + 2,6%;CDB CDI + 3.06%
Debênture;SIMPAR;R$ 1.070,99;114,94%;R$ 2.301,97;Sem Rating;2469 dias;No Vencimento;CDI + 2,6%;LCI/LCA CDI + 2.21%
Debênture;SIMPAR;R$ 1.070,99;114,94%;R$ 2.301,97;Sem Rating;2469 dias;No Vencimento;CDI + 2,6%;LCI/LCA CDI + 2.21%
CDB;BANCO DIGIMAIS;R$ 5.000,00;73,41%;R$ 8.670,69;BBB- FITCH;1800 dias;Vencimento;115,0% CDI;LCI/LCA 97.75% CDI
CDB;BANCO MASTER;R$ 962,98;139,87%;R$ 2.309,87;BBB- FITCH;2810 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 965,02;141,34%;R$ 2.328,99;BBB- FITCH;2831 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 971,22;128,85%;R$ 2.222,61;BBB- FITCH;2670 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 972,79;106,18%;R$ 2.005,66;BBB- FITCH;2344 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 975,14;129,38%;R$ 2.236,83;BBB- FITCH;2677 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 976,77;128,20%;R$ 2.229,01;BBB- FITCH;2660 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 977,52;141,91%;R$ 2.364,72;BBB- FITCH;2838 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 978,09;127,24%;R$ 2.222,62;BBB- FITCH;2649 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 978,69;139,30%;R$ 2.342,05;BBB- FITCH;2803 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 979,53;127,13%;R$ 2.224,84;BBB- FITCH;2646 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 979,90;127,78%;R$ 2.231,97;BBB- FITCH;2656 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 981,36;127,67%;R$ 2.234,25;BBB- FITCH;2653 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 981,84;128,85%;R$ 2.246,92;BBB- FITCH;2670 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 982,45;142,82%;R$ 2.385,64;BBB- FITCH;2848 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 982,72;138,18%;R$ 2.340,64;BBB- FITCH;2789 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 982,92;143,63%;R$ 2.394,67;BBB- FITCH;2861 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 983,31;128,74%;R$ 2.249,22;BBB- FITCH;2667 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 983,82;128,31%;R$ 2.246,17;BBB- FITCH;2663 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 984,68;141,80%;R$ 2.380,93;BBB- FITCH;2835 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 985,30;128,10%;R$ 2.247,44;BBB- FITCH;2659 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 985,40;138,07%;R$ 2.345,92;BBB- FITCH;2786 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 988,59;107,62%;R$ 2.052,54;BBB- FITCH;2365 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 988,62;129,71%;R$ 2.270,94;BBB- FITCH;2680 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 990,57;137,40%;R$ 2.351,56;BBB- FITCH;2778 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 990,93;104,84%;R$ 2.029,78;BBB- FITCH;2324 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 991,03;107,82%;R$ 2.059,53;BBB- FITCH;2369 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 991,10;124,70%;R$ 2.226,96;BBB- FITCH;2614 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 991,27;137,62%;R$ 2.355,45;BBB- FITCH;2782 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 991,59;124,59%;R$ 2.227,03;BBB- FITCH;2611 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 992,57;106,85%;R$ 2.053,14;BBB- FITCH;2353 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 994,02;126,18%;R$ 2.248,24;BBB- FITCH;2635 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 995,13;106,85%;R$ 2.058,44;BBB- FITCH;2355 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 996,68;128,85%;R$ 2.280,86;BBB- FITCH;2670 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 998,13;130,90%;R$ 2.304,67;BBB- FITCH;2695 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 998,23;126,18%;R$ 2.257,76;BBB- FITCH;2635 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 998,76;131,33%;R$ 2.310,46;BBB- FITCH;2701 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 1.000,00;38,60%;R$ 1.385,96;BBB- FITCH;1082 dias;Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 1.000,00;39,22%;R$ 1.392,19;BBB- FITCH;1096 dias;Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 1.000,00;73,42%;R$ 1.734,22;BBB- FITCH;1800 dias;Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 1.000,00;74,78%;R$ 1.747,81;BBB- FITCH;1826 dias;Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 1.000,24;125,65%;R$ 2.257,01;BBB- FITCH;2628 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 1.000,77;130,79%;R$ 2.309,68;BBB- FITCH;2694 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 1.000,99;109,08%;R$ 2.092,89;BBB- FITCH;2386 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 1.002,52;131,44%;R$ 2.320,24;BBB- FITCH;2702 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 1.002,52;137,06%;R$ 2.376,58;BBB- FITCH;2775 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 1.003,40;108,79%;R$ 2.094,99;BBB- FITCH;2381 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 1.009,59;132,10%;R$ 2.343,22;BBB- FITCH;2712 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER DE INVESTIME;R$ 1.018,40;71,21%;R$ 1.743,59;Sem Rating;1760 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER DE INVESTIME;R$ 1.020,15;87,90%;R$ 1.916,84;Sem Rating;2055 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER DE INVESTIME;R$ 1.023,90;91,85%;R$ 1.964,37;Sem Rating;2120 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER DE INVESTIME;R$ 1.025,08;70,11%;R$ 1.743,80;Sem Rating;1740 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER DE INVESTIME;R$ 1.032,97;89,38%;R$ 1.956,25;Sem Rating;2078 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER DE INVESTIME;R$ 1.033,72;90,26%;R$ 1.966,75;Sem Rating;2096 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER DE INVESTIME;R$ 1.035,28;90,00%;R$ 1.966,99;Sem Rating;2091 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER DE INVESTIME;R$ 1.046,55;87,20%;R$ 1.959,18;Sem Rating;2042 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 1.048,06;81,08%;R$ 1.897,88;BBB- FITCH;1937 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 1.057,46;80,92%;R$ 1.913,13;BBB- FITCH;1935 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 1.060,63;80,50%;R$ 1.914,45;BBB- FITCH;1928 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 1.074,83;80,92%;R$ 1.944,56;BBB- FITCH;1935 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 1.078,29;83,02%;R$ 1.973,44;BBB- FITCH;1970 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 1.080,34;82,17%;R$ 1.968,09;BBB- FITCH;1956 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 1.080,80;79,92%;R$ 1.944,58;BBB- FITCH;1917 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 1.084,06;79,42%;R$ 1.945,07;BBB- FITCH;1909 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 1.085,36;81,84%;R$ 1.973,59;BBB- FITCH;1950 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
CDB;BANCO MASTER;R$ 1.096,85;101,71%;R$ 2.212,50;BBB- FITCH;2279 dias;No Vencimento;13,50%PRÉ;LCI/LCA 11.47% PRÉ
